system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1667,4597.616246739468,31160.528756021748,4185.816194227003,287,1,34,-12.678875000000005,-70.443125,0,0.0,1571.5,1224.5,347.0,0.0,5.427965,
1_1_1_1_1668,14742.006827494006,29721.465893272674,582.5266427819257,291,1,34,-12.781374999999997,-70.536875,0,0.0,1571.5,1224.5,347.0,0.0,0.9509696,
1_1_1_1_1669,10254.17496101483,30213.38895209912,2084.16719800517,282,1,24,-12.740375,-70.506625,0,37.5,1571.5,1224.5,347.0,-5.1,2.0835888,
1_1_1_1_1670,12807.190834713998,35015.34357070674,1135.5330691777713,292,1,21,-12.699875000000006,-70.528375,0,13.5,1571.5,1224.5,347.0,3.9,2.7802885,
1_1_1_1_1671,8529.269354121076,32407.56974787588,3032.1145817788833,273,1,31,-12.694125,-70.486125,1,5.5,1571.5,1224.5,347.0,-1.1,8.542815,
1_1_1_1_1672,11939.034834812453,28191.138735859666,3409.8597133384296,321,1,31,-12.923625000000001,-70.615625,0,-53.5,1571.5,1224.5,347.0,32.8,6.6947956,
1_1_1_1_1673,12785.789816966817,28292.792122722873,1743.1054626179662,338,1,31,-12.896375000000006,-70.593625,1,-3.5,1571.5,1224.5,347.0,11.4,4.2262707,
1_1_1_1_1674,558.9860554220024,32466.39429594411,979.3766767320722,273,1,41,-12.652124999999998,-70.415375,0,-27.5,1571.5,1224.5,347.0,16.5,3.7967257,
1_1_1_1_1675,13954.093730041453,28299.412560610417,1972.5890806943078,369,1,21,-12.881625,-70.588375,0,-23.0,1571.5,1224.5,347.0,13.8,9.924875,
1_1_1_1_1676,39257.115375721136,6625.674354028417,9423.650753683776,259,1,34,-12.954875000000001,-70.002375,1,0.0,1571.5,1224.5,347.0,0.0,2.938156,
1_1_1_1_1677,1377.2367100485562,35347.67415001723,1892.9410463756421,263,1,21,-12.623625000000004,-70.414625,0,-21.5,1571.5,1224.5,347.0,12.9,2.9957206,
1_1_1_1_1678,10982.026693397473,26929.022664616845,767.1970423286397,284,1,21,-12.778625000000005,-70.499625,0,-6.0,1571.5,1224.5,347.0,14.1,0.92740995,
1_1_1_1_1679,38625.02334459625,2604.606675293488,5535.279548942088,256,1,34,-12.915125000000003,-70.005625,1,-14.5,1571.5,1224.5,347.0,8.7,0.92740995,
