system:index,0_mined,0_mined_1,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,sand,scale,slope,year,.geo
2_2875,1,0,0,0,0,0,0,0,0,3,197,0.7834827389881188,33,2000.7732880064148,12585.00712032973,11713.070927253664,6790.849725917957,18735.027828492144,1900.7346236060941,2908.0123017062706,2000.7732880064148,11651.391195770357,21,-12587,-69304,3.0,43,-0.9,4.668531,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.30386279167435,-12.587557061433174]}"
2_2876,1,0,0,1,0,1,0,0,0,8,191,0.8249219226244977,32,1118.4581934380694,15213.991767320427,20199.738936663885,12751.993074460703,27143.30054169675,5732.793825603272,1747.0875485629647,1118.4581934380694,18166.18514403891,31,-12557,-69377,7.5,36,-2.0,1.9909567,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.37700969931147,-12.557080114061103]}"
2_2877,1,0,0,0,0,0,0,0,0,1,474,0.5466588463097797,38,1431.8083228009914,11385.286418275646,15321.507642381244,1431.8083228009914,13506.171924483671,31737.62571823023,100.001831037924,5507.368765370033,13871.086687727011,41,-13182,-70620,1.0,32,-0.3,12.047439,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.62108928504563,-13.182411798126259]}"
2_2878,1,0,0,13,0,1,0,0,0,0,215,0.9116278181656317,35,2442.194150662729,7933.820666068029,34520.45170133297,8035.339600059307,24462.269974746472,1900.687234111405,848.835051887291,2442.194150662729,11123.824213015518,21,-12650,-69512,-6.5,40,4.0,0.0,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51361821953908,-12.650716132116166]}"
2_2879,1,0,0,13,0,14,0,4,0,0,387,0.8837892896724776,38,2602.3300281085244,0.0,8201.894581829574,7827.464114130949,2500.3916929481397,24872.350231748936,412.3751622176856,2602.3300281085244,8272.329674945056,31,-13119,-70293,-4.5,32,4.9,6.8863587,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.29389414382808,-13.11945164699719]}"
2_2880,1,0,0,0,0,0,0,0,0,0,220,0.18078453894821683,35,13411.035685152638,32259.048203989896,31082.791103050247,25592.671416489953,40140.59398974571,9162.610186389815,100.03779559184119,13411.035685152638,12360.235406681935,31,-12398,-69389,0.0,40,0.0,2.8465707,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3897513459333,-12.398088037951997]}"
2_2881,1,0,0,0,0,0,0,0,0,0,806,0.1859880275146616,38,4686.705567992797,0.0,4686.705567992797,25309.884992064333,2972.889552769956,21523.68357343454,99.9890960852107,19080.89591548311,11542.137698510061,31,-13123,-70871,0.0,37,0.0,9.265215,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.87107894806277,-13.122412165150132]}"
2_2882,1,0,0,0,0,0,0,0,0,0,188,0.3069157156753275,34,1500.573230312753,17388.52967397348,18022.433545618915,13102.333162038833,25690.935602367616,4743.11974403451,4611.533869430675,1500.573230312753,15238.680510566686,31,-12544,-69351,0.0,37,0.0,0.4750752,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.35103263557173,-12.543822345123452]}"
2_2883,1,0,0,0,0,0,0,0,0,0,410,0.23716759983761587,36,3754.1840846716027,0.0,4581.026558543196,3754.1840846716027,223.63772715669532,30124.093162456385,100.0138320511843,6100.843755122242,4561.332538990114,21,-13132,-70342,0.0,35,0.0,7.0653324,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.34183794273741,-13.132766858313204]}"
2_2884,1,0,0,0,0,0,0,0,0,0,835,0.15404167906256075,39,5219.526186664959,0.0,5219.526186664959,25335.661773861983,1902.4012067811823,22511.73527730176,0.0,20959.35211345105,13734.797784306154,42,-13122,-70891,0.0,35,0.0,2.3657718,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.891275255136,-13.12253570629012]}"
2_2885,1,0,0,0,0,20,0,0,0,0,194,0.8993816193466708,36,3299.6638843979244,10626.886383095414,37218.81329628329,10811.7318930569,27121.31497319037,583.3036770735292,1342.1204945439883,3299.6638843979244,10671.52255640567,31,-12634,-69539,0.0,33,2.0,2.8865356,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5398270481885,-12.633845083830229]}"
2_2886,1,0,0,9,0,0,0,0,0,0,471,0.7611891316662092,37,100.01188894170282,700.0832225919197,7908.531418306179,700.0832225919197,6685.852747987607,36707.769483038894,700.0832225919197,100.01188894170282,8001.576165227053,21,-13168,-70390,-4.5,36,2.7,17.5995,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.39102301287207,-13.169118442368143]}"
2_2887,1,1,0,0,0,0,0,0,1,23,189,0.7341215797935984,32,640.5658722713457,12624.42448796553,12038.465853482692,3163.529353230344,17612.08135126106,18821.27159417968,4519.531012640444,640.5658722713457,7002.7707407050675,21,-12484,-69172,23.0,34,-6.9,2.3655305,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.17232487484675,-12.484312617427408]}"
2_2888,1,7,0,0,1,27,0,0,0,0,219,0.8120330559743585,36,1581.7095737780846,6299.097561388507,35316.28441828615,6464.530428132425,22811.95922719491,1616.1326070331063,100.03609700065772,1581.7095737780846,9547.553266924759,24,-12667,-69518,0.0,36,2.7,1.0420773,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51807333125542,-12.668069325070627]}"
2_2889,1,0,0,2,0,2,0,0,0,0,331,0.7965868755946959,40,11677.74465960619,282.8424224502046,13529.95286702745,22116.260915927156,5500.903375206601,14546.462320945511,360.5547578363618,11677.74465960619,6072.88435318733,21,-12988,-70660,-1.0,35,0.8,3.8244324,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66019621058742,-12.988541240677668]}"
2_2890,1,0,0,0,0,13,0,8,0,0,379,0.6878628031705261,40,3270.0823775341464,0.0,9465.664944926446,9081.658575955955,2596.5685280950606,24077.924177131372,200.03216538222046,3270.0823775341464,9535.157967584852,21,-13123,-70282,4.0,34,0.5,14.093671,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.28257154388055,-13.123847773937895]}"
2_2891,1,10,0,0,0,0,0,0,0,0,631,0.25358761912437505,39,2125.8820586626507,5742.4242497112555,2125.8820586626507,20499.557086178524,8508.81777824619,26110.45090270893,0.0,8809.611741120994,5456.727872651511,41,-13182,-70796,0.0,35,0.0,9.759902,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.79736777935857,-13.181778694052614]}"
2_2892,1,0,0,0,0,0,0,0,0,0,736,0.22424828378415795,38,2899.7909885617187,6334.367816658482,2899.7909885617187,20092.829539376417,9191.725633263186,26634.896833735813,360.5291412892306,9154.12036048351,5953.561137239102,31,-13186,-70802,0.0,35,0.0,18.977343,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.80210763823838,-13.18662623344228]}"
