system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_1551,12866.43716941758,28644.06996331835,380.6516680415475,290,1,21,-12.778374999999997,-70.519375,0,40.5,1160.1,1266.4,-106.30000000000018,7.1,4.1618114,
2_1552,25671.485990126945,14216.392265090046,15323.41796792101,283,1,34,-13.043625000000006,-70.139375,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,1.3289151,
2_1553,17845.89326773635,28951.24000947002,2242.1382978051056,296,1,34,-12.810375000000008,-70.553625,0,184.0,1160.1,1266.4,-106.30000000000018,-40.9,0.9510785,
2_1554,5608.780297514002,32797.17632722461,3537.1265449955986,286,1,24,-12.670375000000007,-70.458125,0,34.5,1160.1,1266.4,-106.30000000000018,-1.4,3.3661404,
2_1555,5871.490249211186,35873.611299886055,1906.7054431591307,265,1,21,-12.644125000000003,-70.468875,0,-3.0,1160.1,1266.4,-106.30000000000018,27.1,2.0834253,
2_1556,15781.626969091776,27003.499822637874,414.60880713228966,300,1,24,-12.812125000000009,-70.531875,0,25.5,1160.1,1266.4,-106.30000000000018,15.3,0.9510858,
2_1557,20067.71337194743,15034.081784223688,12424.488943393873,292,1,31,-13.052625000000006,-70.189875,0,28.0,1160.1,1266.4,-106.30000000000018,-2.8,7.4386835,
2_1558,9157.302348082074,31539.733447381648,1483.0741680219517,275,1,24,-12.713625000000008,-70.496875,0,236.0,1160.1,1266.4,-106.30000000000018,-45.8,2.0835433,
2_1559,13384.521336062335,17216.783804312963,13952.363849712026,349,1,31,-13.031625000000005,-70.653375,0,-24.5,1160.1,1266.4,-106.30000000000018,21.3,7.056955,
2_1560,42412.96705832273,11778.083780364805,15277.809320715347,253,1,21,-13.004374999999996,-69.982125,1,165.0,1160.1,1266.4,-106.30000000000018,-45.8,2.7802885,
2_1561,41859.656095628336,10129.84918839016,13682.33663199761,258,1,24,-12.989125000000001,-69.983875,0,-112.0,1160.1,1266.4,-106.30000000000018,72.7,3.9805942,
2_1562,11869.834518852564,32301.912496793448,27.40249159127973,282,1,24,-12.729375000000005,-70.522375,0,-19.5,1160.1,1266.4,-106.30000000000018,22.8,3.9784896,
2_1563,27059.056575296876,10260.161067166857,12267.798391734721,274,1,34,-13.007125000000002,-70.13012499999999,0,-21.0,1160.1,1266.4,-106.30000000000018,12.6,4.6273675,
2_1564,21691.717342454784,33541.58964623925,7168.575861423344,306,1,41,-12.812125000000009,-70.606375,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,2.9977305,
2_1565,9302.083422368567,26956.935585750773,1975.883955911015,282,1,24,-12.765625,-70.489375,0,188.0,1160.1,1266.4,-106.30000000000018,-41.2,4.1617675,
