system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,sand,slope,type,.geo
1768,240,0.7522665502554481,35,6,4561.322519291965,5360.766940597796,4561.322519291965,36308.38511635863,16301.912020718613,2236.372359005763,282.88121402807934,5459.680715538685,5179.507907520028,31,-12598,-70344,1,36,4.3969035,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.34457152719118,-12.59886284568506]}"
1769,249,0.5457341688470618,35,7,7517.682391213148,6775.147873876306,7517.682391213148,40692.819662442635,17829.679184502045,5778.337651914368,0.0,8951.091729198804,7311.956591053665,34,-12556,-70340,1,34,3.600281,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3406692650757,-12.556390914270963]}"
1770,662,0.6081273777788273,43,1,3257.1744809895235,6465.817098856059,3257.1744809895235,14012.313436258035,7802.264221645855,26302.032147866863,99.99616203572515,4521.99406266023,2080.7853418053182,31,-13178,-70737,1,32,17.367,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73697261504238,-13.178715117270539]}"
1771,209,0.7118675733045576,34,13,4941.275214171692,14961.56839825113,53167.430202024145,14926.749090545783,27021.92619238096,707.3414892552784,583.2887347162424,4941.275214171692,11407.73196686921,21,-12671,-69683,1,35,3.7566323,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.68379752460551,-12.670995485902697]}"
1772,219,0.5955959853755672,33,8,282.93832145893566,7122.09766517869,51266.616415245975,7085.472711327647,19619.125605177174,4202.610430862435,1360.6068197568136,282.93832145893566,7090.414012947339,31,-12734,-69652,1,44,1.0421346,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65265083014157,-12.735274679393527]}"
1773,564,0.29361974077167047,43,3,4695.752382680876,11086.049976525961,11227.222140937318,5316.024445970526,12603.59676970043,31354.3303581033,100.00020507791471,4695.752382680876,10107.938417730918,31,-13198,-70654,1,31,3.735117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65500525579571,-13.198239611421315]}"
1774,217,0.5514612159821526,31,8,3179.203101923696,7530.015526679294,33642.251187645816,7668.289143140893,24119.536313019747,2801.016182789739,1200.435506909888,3179.203101923696,11748.622640431755,21,-12651,-69504,1,42,7.326452,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.50510186851234,-12.651501039049172]}"
1775,209,0.38202671316625986,30,9,1000.3746856647014,9337.842628576189,23809.12768064143,9103.409639548783,26591.344127274144,7965.395096476304,3314.8498666865557,1000.3746856647014,22390.968946895966,21,-12606,-69417,1,39,0.47519028,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.41754684929887,-12.606438898909653]}"
1776,650,0.5612566870091779,40,1,1699.893829692479,8015.109171085199,1699.893829692479,19213.898187422576,10408.000196006824,28402.627123913007,316.2080166055646,6693.609125574674,4025.912981300988,41,-13202,-70784,1,31,2.3578796,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78419118533358,-13.202795174888083]}"
1777,216,0.5341806143898186,32,8,2285.5641232151256,6910.482575463254,32696.610990777415,7080.006796554493,23589.08938744576,3215.2024158978406,282.9457351905132,2285.5641232151256,12375.439668010284,21,-12654,-69495,1,39,3.9681792,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.49589856543717,-12.654231124262697]}"
1778,211,0.5325221961508849,32,8,2864.6054211269657,5094.002358012558,33571.85087090728,5222.051332301081,21671.209989796946,3606.8622747133,1300.4726875015485,2864.6054211269657,10871.333832463937,34,-12672,-69500,1,40,0.66404474,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.50053992331456,-12.673211972900726]}"
1779,207,0.4606031991495547,37,9,922.300023844939,10826.718091048962,23762.850782154102,10471.492544026825,28071.344886004026,8489.640801211424,3472.612150310538,922.300023844939,23208.911701608216,31,-12593,-69416,1,37,3.0114856,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.41660424034364,-12.592876209795046]}"
1780,208,0.3568150771884139,35,9,761.8678296422222,13428.980158073715,17564.886898687164,9585.408646475218,23933.17279148729,2907.997262064027,2942.2101715138188,761.8678296422222,16673.991510861968,21,-12580,-69357,1,30,1.6843349,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.35766454882695,-12.580301517049879]}"
1781,206,0.7549631232248698,31,13,7214.9715557846275,12924.586159431881,45967.20286156223,12885.427118696918,28429.844926054928,7247.491851307294,316.33660498944795,7214.9715557846275,7881.798057867252,31,-12652,-69618,1,35,6.299804,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.61928872999196,-12.652164307861346]}"
1782,248,0.4390049088925803,34,7,6263.853780508749,24925.11170874384,24025.68192564339,33310.18808675508,35842.98325847316,700.1415579523008,1879.2093702996149,6263.853780508749,3536.248881561329,21,-12601,-70164,1,35,1.3909631,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.16416555319667,-12.60151742401014]}"
1783,210,0.465582073313851,30,9,1721.106160021078,7563.902107948835,25679.976692564658,7657.9162332292635,24700.29229182841,6023.040853104358,2203.0921994455457,1721.106160021078,19695.403927941305,31,-12626,-69433,1,37,6.1714997,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.43415301937068,-12.626306476650909]}"
1784,203,0.5044318886642594,33,9,608.5055014644486,10362.47529022989,21835.96113370814,9344.291215512952,26524.894462561017,7553.342319484303,3126.8779419834254,608.5055014644486,21543.436102478234,21,-12597,-69398,1,42,5.7255,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39911876275332,-12.597424261951216]}"
1785,223,0.6693432626764505,33,8,3325.3041353797157,8634.32456497666,45637.27051910088,8566.256530611385,23621.089909955037,7370.724086385082,2103.1069961153607,3325.3041353797157,3190.1471053402756,21,-12695,-69609,1,39,1.3909631,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.60926263076826,-12.695591311665762]}"
1786,208,0.44337620941395806,29,9,3266.2169269158894,18762.72106556455,17500.989923312864,13268.944396354771,25588.114681700707,4777.812094377477,3906.6215792018984,3266.2169269158894,14008.58101485674,21,-12532,-69340,1,34,1.9141359,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.340109843478,-12.532397149167675]}"
1787,216,0.5658493185559659,40,8,3226.0324050023114,9490.682322688675,42514.882770131306,9537.48784454091,25496.961881899402,4492.675021480278,100.0350182826619,3226.0324050023114,5524.614456464643,21,-12667,-69584,1,30,1.0575927,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.58525267032996,-12.66761354814586]}"
1788,196,0.7524742831679484,30,8,4244.130942953751,11900.396512235948,41454.27122631965,12079.008420958806,28269.084025324544,3802.650799190735,640.537337752209,4244.130942953751,8686.367411558975,41,-12639,-69578,1,40,3.8034494,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.57874320494747,-12.639595928975298]}"
1789,202,0.6579275240315233,34,8,848.8289221406749,8545.275988276817,39685.84116224428,8735.219945993507,25029.260866697663,1676.89967514691,2309.497652570048,848.8289221406749,6762.573847938972,21,-12663,-69559,1,38,3.323428,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5594595544181,-12.664052010382651]}"
1790,200,0.4802986307935699,29,9,2508.949839060533,16965.872420718413,15865.784507950886,11276.415799932563,23470.675765488133,2928.579829603314,5568.104311261935,2508.949839060533,13601.173586125642,31,-12556,-69334,1,34,3.277223,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.33461750843097,-12.555915551838359]}"
1791,189,0.5372602365033167,37,8,2808.141990962396,9846.807162819723,36154.923279029375,10012.59082482604,26358.087730219457,0.0,1204.5919486263024,2808.141990962396,10944.221860053382,41,-12637,-69530,1,37,0.47524908,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52993689154663,-12.637888879555096]}"
1792,192,0.44696064790325524,30,9,1553.0001990225446,8105.510175195347,23226.16544491178,7765.000995112723,25333.210044007235,8412.675089188338,4004.0016333760564,1553.0001990225446,22272.678569804488,42,-12617,-69412,1,41,2.3174627,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.41203997477773,-12.617298768736488]}"
1793,215,0.5448122318422773,32,9,4582.050181440004,12037.640805900259,34112.92409008038,12204.82393483304,28678.12390391738,671.0630959238763,905.8661374531974,4582.050181440004,14489.714926538194,34,-12610,-69512,1,35,1.0574033,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51238765346116,-12.610795242471639]}"
1794,187,0.43460110708522376,26,9,2059.9170511970865,16128.848462326845,15092.54479883637,10012.840956761003,22432.931565405444,1700.6530630379355,5724.085890620713,2059.9170511970865,13468.083859143217,41,-12566,-69330,1,32,3.0112956,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.33094925531516,-12.566771557142756]}"
1795,221,0.41772000216459615,32,8,1811.6808256595589,0.0,62115.46816420056,6392.7487024484435,538.6960176333797,2816.964407590698,1404.0348222984223,1811.6808256595589,24485.088316188743,31,-12921,-69677,1,37,4.3985276,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67709807387311,-12.921483888762895]}"
1796,197,0.3401346209453348,30,9,2618.223574773552,8935.286026479509,26319.09589775074,9028.320909089352,26019.66874789147,5335.837299571643,1029.9458116813719,2618.223574773552,19759.052588307466,31,-12615,-69440,1,35,0.4752078,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.44057985947612,-12.615444664775035]}"
1797,205,0.4320499135359801,30,9,2184.849586990701,6478.531391467851,24657.542640505748,6541.558094872639,23715.40316884656,7220.7318295514115,3421.805226172199,2184.849586990701,20268.128321944398,34,-12633,-69424,1,41,0.6639914,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.42403643441584,-12.633556937684254]}"
1798,203,0.4460726878271662,33,9,1345.8750950531683,17497.52016352737,19230.748869303523,13951.281684442898,26870.243250477724,5335.886764949138,3957.515643476267,1345.8750950531683,15899.76621800174,31,-12540,-69361,1,34,2.54836,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3612902071886,-12.539603807481365]}"
1799,250,0.5441138962928582,36,7,4940.460425785232,14119.722486151682,13266.075450979983,34695.99285417148,25076.282537847765,3680.2883240905862,1838.784616856335,4940.460425785232,3833.3935658198143,21,-12598,-70263,1,33,0.6639449,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2635664589668,-12.5983538127903]}"
1800,203,0.3735919607381922,31,9,1208.764939799091,13228.123632028044,18057.91587417413,9753.586320794393,24340.525392256714,3407.1748515082113,2470.758763454559,1208.764939799091,17151.79377417636,21,-12580,-69362,1,33,1.327663,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3622676319584,-12.580295329880258]}"
1801,247,0.7485442136786464,32,7,4031.814383336575,15029.531139475408,14145.247758398735,34443.04537838517,25960.145417686355,2864.051172918136,1000.1700539002105,4031.814383336575,4669.841001626153,21,-12600,-70254,1,38,2.3541837,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.25529097816437,-12.600200991579111]}"
1802,209,0.6575190487015647,34,8,4562.305012956718,12347.758622677487,41209.748895240664,12528.379802417901,28799.354940726596,3384.974431131506,985.2320163172543,4562.305012956718,9309.183588372896,31,-12634,-69576,1,38,0.6639921,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.57688943567481,-12.634174417191634]}"
1803,241,0.5408731813416755,34,12,19348.41330118409,29507.81602832915,37409.584297927584,29607.837933719085,44436.07989463453,1432.128544498974,2693.2339086530806,19348.41330118409,2702.504965016253,21,-12609,-70041,1,36,8.07763,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.04084241518372,-12.609259292214738]}"
