system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
2731_0,267,0.10335025848345979,32,0,21044.144821578997,6685.7729271777835,36905.685285704785,21044.144821578997,0.0,6932.614112872353,1859.8962189862998,22995.61784167508,21107.281785842784,34,-13085,-70026,0,0.8621935782879041,41,3.676126,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02804134503245,-13.083987697265528]}"
2734_0,425,0.153813717547914,38,0,157.07978212681365,71.34952243432849,7426.57843602374,157.07978212681365,19335.713102575664,23327.381129416102,170.3058509369976,3755.229025720616,14827.796274974738,23,-12960,-70310,0,0.8414011383680098,36,14.81467,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30960112728476,-12.957953150659757]}"
2735_0,245,0.4156978542433693,35,0,4635.556757666121,6687.872636242256,39639.29111999776,6690.30445893125,20502.44913166202,16211.421698193939,78.01162883783404,4635.556757666121,6270.36025204011,36,-12824,-70004,0,0.8198464797763046,33,1.0297445,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00486118170848,-12.82368407001056]}"
2738_0,253,0.2170687307932823,36,0,2817.7992936280857,2853.4096701300145,46249.38361211098,2817.7992936280857,15531.555664072457,15854.806333380198,567.0540423839442,10850.8889836532,3197.3555627676906,36,-12875,-69934,0,0.9383453962053663,35,1.3623232,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.93317383367325,-12.872773526651466]}"
2759_0,282,0.1969425392197067,35,0,6457.140274520938,0.0,22979.00756097279,6457.140274520938,10558.568791150266,7053.935582622507,2551.016686616839,7588.227418899766,13676.785887197717,25,-12972,-70155,0,0.8483686884500468,36,1.3935637,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.15479060062802,-12.969534782334202]}"
2760_0,233,0.7444925459821492,34,0,13755.137322178422,26285.084744842374,52521.30366120597,26172.93209714132,38105.029721333565,893.3448596230553,1743.3389498004653,13755.137322178422,2218.1686743386645,24,-12651,-69903,0,0.968562136921135,38,2.3092642,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.90473586541957,-12.650443555657905]}"
2763_0,269,0.27679481307400156,33,0,2357.9134767244464,10952.199135857802,22027.08173621815,11052.219219290293,24902.339438420287,1561.1605148228207,2713.0141476060508,2357.9134767244464,12198.247787997092,24,-12813,-70169,0,0.9391006035271219,42,1.5987107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.17065272112177,-12.812149105218053]}"
2764_0,554,0.45396887513177314,38,0,2173.930672254754,11955.170703761949,2173.930672254754,9655.90800188811,18463.632716282696,36842.42396232799,246.48679971808238,4317.5499727911565,4140.161049031041,23,-12996,-70436,0,0.9498048834739228,36,9.69241,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.43701856347366,-12.995250044801292]}"
2765_0,226,0.06254605711690982,35,0,4752.83235051569,0.0,66476.73878866967,4752.83235051569,4231.894176993038,6335.860298318236,267.90984637162313,7441.2920681198575,22625.297381972094,32,-12922,-69746,0,0.9081881983340908,34,2.009927,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.74531370219051,-12.922202354102257]}"
2766_0,230,0.14619159147998687,37,0,10602.395808912514,1981.4939637306431,69879.33521346966,13033.351900200947,0.0,3603.6059711358816,893.3860232882781,10602.395808912514,28190.34719425639,26,-12995,-69713,0,0.8347441895424681,34,1.6862837,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.71232948831724,-12.992822881395389]}"
