system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
3257_0,279,0.30337784304203613,35,0,1051.3921328851989,13630.294648479996,16501.403965102392,13785.734616375728,30462.670774477618,7440.261013580876,125.0225773067566,1051.3921328851989,18237.82399532599,25,-12787,-70224,0,0.8484291439170655,38,1.8463155,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2257976788524,-12.784775170163943]}"
3261_0,794,0.13966647992361617,33,0,2362.2580468885444,4454.397581390352,13251.95376403279,2362.2580468885444,11785.864005033864,40244.66354601957,1103.5301718177498,5044.0885422798365,13576.306593390551,26,-13209,-70426,0,0.8146565590766522,37,21.120552,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.42717455192822,-13.206842944023213]}"
3267_0,212,0.6082122429625488,35,0,2686.11508180532,11188.09202108103,15374.609075445662,5213.758616611296,20061.05276035833,3262.76732082342,5848.39213008094,2686.11508180532,16580.957116900096,35,-12616,-69340,0,0.8059143829375898,39,2.132175,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.34205839944313,-12.613780435300313]}"
3272_0,217,0.0861952096194834,36,0,9492.598568203606,8263.292723278077,16446.075396040946,20524.954740159726,0.0,15979.40194375118,186.92972692344514,9492.598568203606,20840.92608487691,39,-12750,-69075,0,0.8986538338489569,36,2.2798405,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.07692373925464,-12.749632273361655]}"
3276_0,578,0.20701517020284918,42,0,5849.606889531218,16128.872764653983,11529.91992866794,7808.854683751773,17272.549974770223,29071.379993728642,77.99229531249341,5849.606889531218,12231.894683155733,23,-13244,-70647,0,0.8100199063324527,33,16.830284,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64885135662382,-13.243475250360316]}"
3279_0,240,0.2688604254919197,36,0,550.1714722936539,0.0,62938.909778180096,550.1714722936539,9414.496245178017,11955.19288743907,467.156555677236,5292.91647640618,18897.620862785672,27,-12886,-69778,0,0.9125870665490442,38,2.2571392,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77838064656777,-12.884129383894573]}"
3281_0,249,0.32815800072097856,37,0,2112.506554321951,0.0,52068.00294897891,2112.506554321951,13458.889053241846,13693.99349218403,1561.715742421608,6161.114751500932,8134.836624377686,29,-12908,-69878,0,0.8911252767659406,34,1.4007242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8779927720191,-12.905514771271225]}"
3287_0,235,0.025361327626150836,39,0,20770.79382616912,13105.430323736753,73494.41728991858,24495.684950673625,0.0,14250.369011523126,100.03339286208096,20770.79382616912,37316.863687387224,34,-13093,-69672,0,0.9297112936395967,34,0.8441589,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67386714510887,-13.090580388198456]}"
3289_0,346,0.013174890482470402,37,0,19310.875517230117,19384.31545149374,58469.378010591994,37109.240995434426,0.0,14443.25449988047,1494.9961627739149,19310.875517230117,40604.98841419438,25,-13222,-69780,0,0.993908271919517,38,3.9481037,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77943404397799,-13.22048581494936]}"
3301_0,240,0.013913656148785623,37,0,34698.39953340217,24954.44706736484,47439.82785743054,44336.24556188735,0.0,2450.9586003082086,222.84331571878104,34698.39953340217,51687.1984479402,25,-13061,-69248,0,0.8864062935811163,33,1.5440141,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24765697589606,-13.058788071770133]}"
3304_0,250,0.3508352268409721,37,0,4669.997475423661,0.0,52905.17925388975,4669.997475423661,11086.417821539975,10469.040100454402,883.9828189298025,7414.130089567187,9694.942950396959,31,-12933,-69871,0,0.8574622966078839,34,1.6212941,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.87255671606367,-12.932658435563427]}"
3312_0,238,0.4681677348473758,36,0,10873.78275080592,18884.476345088486,44333.986183615154,18915.709408120863,32358.63031929944,6913.93150290267,4121.452681790728,10873.78275080592,7200.314866512865,25,-12716,-69977,0,0.8076338013978606,34,1.6837171,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.97680332694289,-12.715289578262215]}"
3317_0,326,0.017354950753842975,38,0,41807.43154052481,55465.11264948468,55754.42670021402,58715.407864598536,66455.71684633216,25000.306174143785,786.024336156506,41807.43154052481,28885.08337573944,25,-12355,-69943,0,0.9855829051152457,36,2.7308834,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.94232617254293,-12.351929178597263]}"
3319_0,299,0.23606066792161673,38,0,14747.134312122264,0.0,18126.456553725955,49717.70486196541,1853.9672546162133,9632.549223461423,2185.8531563911597,14747.134312122264,5257.385584727107,24,-12550,-70555,0,0.9991969757003276,36,1.25773,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.55597548730434,-12.549804401121374]}"
3325_0,226,0.027095880472521226,36,0,11470.951719630344,7565.9290208821,19995.43083078978,23142.727476334927,0.0,13681.637131174384,275.59676662324,11470.951719630344,23792.650776170478,31,-12735,-69019,0,0.9139403038882178,37,1.681024,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.02072663676601,-12.733365437818735]}"
3331_0,225,0.007085476181526013,35,0,46327.68262237177,42335.436555468994,53645.496866907924,57377.96427427412,0.0,9087.549422576194,372.22527107584966,46327.68262237177,58354.78735654544,34,-13094,-69005,0,0.982427017437337,35,1.123374,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0050737298338,-13.091460178459089]}"
3333_0,246,0.0994268084285716,39,0,288.54897485352785,357.486823800602,54558.262838447474,288.54897485352785,11312.991449720295,10131.472380924126,173.6790299383961,1994.890305505037,12641.409154114093,30,-12811,-69657,0,0.9492515517182841,35,4.4485703,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65652436060412,-12.808508014444008]}"
3334_0,316,0.015910894294682076,36,0,35083.20687013231,47709.12625625538,55640.29873179766,47631.04587685316,57501.83978674102,19574.311948869254,487.86493551771935,35083.20687013231,20066.502186853115,24,-12452,-69899,0,0.9133023786166855,36,1.9696891,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89851463071518,-12.449731974833664]}"
3336_0,477,0.2807420808881499,38,0,6921.870830299484,0.0,12475.79908206038,6921.870830299484,1870.45495150076,30342.74951734552,353.9327153587803,9182.785019837956,12453.32846098823,31,-13192,-70300,0,0.9762743034947307,33,10.202762,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.29976061801561,-13.191248942934727]}"
3339_0,406,0.03941414171528908,40,0,21907.89587368519,0.0,22470.707586770175,39203.06441234102,5271.519638141952,7470.635380791391,1639.8931963013872,21907.89587368519,22221.928880801122,26,-12875,-70785,0,0.8320487561977695,36,1.4153059,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78459834662732,-12.873782784821678]}"
3348_0,219,0.009781745392295826,36,0,52634.93561640405,49953.06054625502,59062.68320630408,63552.81098398193,0.0,3533.761538506497,81.68568367952578,52634.93561640405,63695.794991102426,36,-13108,-68916,0,0.8493678459515454,36,1.2293164,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.91558607302213,-13.107723171079313]}"
3349_0,228,0.025990201050288254,35,0,40332.57595649086,35299.187647793675,48297.41682407419,51282.52994536981,0.0,10235.289821726077,62.52496998758369,40332.57595649086,53006.806113635146,36,-13062,-69063,0,0.9965257681136309,35,1.6418005,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.06502744995271,-13.058898462071532]}"
3357_0,358,0.40414317497621755,37,0,661.1492247620556,926.1941620808522,6176.484441901321,661.1492247620556,21318.865319685698,22209.59278506226,73.93879993848903,1760.247696702617,16039.787394334702,34,-12942,-70310,0,0.9077523399103102,37,7.59006,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30951613240315,-12.941680474896826]}"
3359_0,289,0.226800841679579,35,0,4484.778489021148,16012.789228159214,4484.778489021148,14615.656577785958,26508.764671097375,18302.20576365191,1060.1259800819087,7708.200898344527,20779.764555556143,36,-12797,-70335,0,0.8457118038428761,37,1.4620662,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33639121030498,-12.795086785805681]}"
3360_0,238,0.07306956156148366,38,0,926.3613209214504,0.0,61620.83840538886,2653.2536102061345,4065.517551238703,6226.005455228199,119.19251538093347,926.3613209214504,22017.674253430094,30,-12890,-69690,0,0.9684319766481483,34,3.020424,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.68991653505357,-12.889802686801538]}"
