system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1746,401,99.98509,1721,6268,1721,4885,12984,3576,3245,1,21,-13.027817407943362,-70.39423145181601,1,-8.0,1571.5,1224.5,347.0,5.3,1.9143673,
1_1_1_1_1747,298,5.420314,14897,2244,14849,23890,9372,2007,15508,1,21,-12.854442558108294,-70.52897874443394,0,1.5,1571.5,1224.5,347.0,4.2,1.9576048,
1_1_1_1_1748,245,20.10891,10641,11431,10628,35044,22471,7800,1694,1,21,-12.594829440997753,-70.28912856357402,0,-2.0,1571.5,1224.5,347.0,1.2,2.4192944,
1_1_1_1_1749,262,89.604996,5887,0,30613,5887,6416,9999,7314,1,24,-12.95685050049792,-70.08251604822654,0,-8.5,1571.5,1224.5,347.0,5.1,0.0,
1_1_1_1_1750,235,88.700325,27852,27766,34693,27852,42364,16348,3988,1,24,-12.624473845373696,-70.06904131896475,0,0.0,1571.5,1224.5,347.0,0.1,0.95038325,
1_1_1_1_1751,291,62.163006,13713,0,13713,31120,12593,630,21029,1,34,-12.761017768559864,-70.53436863613865,0,18.0,1571.5,1224.5,347.0,-3.1,1.0421569,
1_1_1_1_1752,301,94.26324,20321,0,20321,34956,9776,2927,21998,1,24,-12.772695867253418,-70.59365744489054,0,-5.0,1571.5,1224.5,347.0,4.9,1.3281777,
1_1_1_1_1753,271,30.975845,11927,0,29455,11927,3193,15018,15170,1,31,-13.023325831522765,-70.10946550675013,0,1.5,1571.5,1224.5,347.0,3.7,3.01468,
1_1_1_1_1754,235,52.556892,26025,25932,36761,26025,40677,17003,5448,1,21,-12.63974520520373,-70.05107501328236,0,-1.5,1571.5,1224.5,347.0,1.5,0.66399956,
1_1_1_1_1755,247,15.484251,12897,0,48713,12897,590,19732,14901,1,31,-13.03051235379572,-69.92800581935798,0,-9.0,1571.5,1224.5,347.0,6.0,2.5526602,
1_1_1_1_1756,257,100.32723,12392,0,36620,12392,716,14171,12263,1,24,-13.006257841124494,-70.03760028402056,1,0.0,1571.5,1224.5,347.0,0.0,1.9587272,
