system:index,cluster,sum,year,.geo
1_3,4.0,2.1562575303710938E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_4,5.0,2.616315428125E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_5,6.0,1.6593253189453125E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_6,7.0,6822339.5673828125,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_7,8.0,1.5109976758789062E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_8,9.0,9076849.220703125,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_9,10.0,3.181569375E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_10,11.0,1.6128008880859375E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_11,12.0,1.0535398282226562E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_12,13.0,2.2863807749023438E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
2_0,1.0,1.555995400390625E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
