system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
1528_0,345,0.007223725515253245,37,0,28676.836202125894,11213.580468854754,28676.836202125894,72384.09826347878,0.0,22033.795648632346,3071.6443578327808,37595.81444778585,30386.746075214072,25,-12599,-70909,0,0.8904167962797613,36,2.1205246,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90965350898138,-12.596328178061457]}"
1545_0,233,0.18216568586908263,38,0,1045.8006147297426,0.0,46110.9594230509,11748.888474710206,3184.299581844106,14480.599695227325,52.60769418870435,1045.8006147297426,17782.12607028039,35,-12869,-69536,0,0.9522069288697081,37,2.9555333,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53502492549275,-12.868463196863926]}"
1546_0,245,0.007057738159806992,34,0,38496.495835984984,33443.050405823175,62163.5688855033,52791.67336815375,0.0,7443.125440155675,338.3594981994142,38496.495835984984,58698.784094298746,35,-13180,-69326,0,0.8607590868651871,37,1.0478433,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.32621517045193,-13.17806194765314]}"
1550_0,874,0.1546882775516717,38,0,5876.231237125731,0.0,5876.231237125731,24075.15560138565,4117.5067965650405,22832.521944491426,858.6875710956866,18126.96842989915,11152.166162269506,24,-13134,-70868,0,0.9586293182984473,35,17.212955,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86945677260294,-13.133495847597626]}"
1552_0,381,0.46906054239319656,37,0,1165.3222276717315,1548.610513687428,8313.66874245319,1165.3222276717315,14354.647160981614,25353.650993949657,61.436388579516276,7937.684376100535,10472.27676813684,31,-13003,-70333,0,0.8393686694105963,36,13.140033,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33195432168174,-13.001234300301627]}"
1566_0,223,0.15714678089213954,36,0,1934.0241338537107,2158.9748440327758,13642.691654439934,10860.46635060321,4066.153904189557,7953.267905022321,1511.5869161400249,1934.0241338537107,16972.411308087027,25,-12739,-69248,0,0.9508123191489826,34,1.8081412,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24734232104879,-12.738676425457228]}"
1568_0,298,0.011835170062392774,34,0,23036.351691894248,21269.858844057493,54109.89714821928,37762.23819399815,0.0,9911.400799258214,478.6716989053652,23036.351691894248,40332.445451895466,25,-13244,-69839,0,0.8610597047554776,41,5.8967795,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84041887010218,-13.241992674543857]}"
1569_0,229,0.19552423814066563,36,0,6040.049411439196,3142.6748708861815,61555.03566751175,10630.804471073405,0.0,2267.3771306087965,353.9975902448477,6040.049411439196,26748.86628265201,34,-12952,-69650,0,0.9389411086797781,39,2.0837874,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65136022543267,-12.949580260590363]}"
1575_0,244,0.0796150460307768,39,0,2267.439669064947,0.0,35433.05305922308,8263.6399055951,7977.739557933696,9858.449748942468,289.1472910418427,2267.439669064947,15583.201537034554,23,-12793,-69469,0,0.9254558409201321,35,1.8713945,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.46944769581395,-12.792631316353454]}"
1579_0,313,0.10794032628924007,40,0,13395.267421592545,1432.0372179982703,17168.67128629026,47232.32552201285,0.0,13178.498834601884,816.2254840964895,13395.267421592545,5713.173967502837,24,-12583,-70562,0,0.957329406898868,35,1.8266575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.56169308234549,-12.582315016017642]}"
1581_0,750,0.07058532701679723,38,0,3039.072056881073,2625.845515657499,3039.072056881073,27861.94116866437,0.0,12144.645700188505,737.8245616988804,21661.465414333445,11302.041955912453,23,-13047,-70823,0,0.8993854387884324,34,13.942019,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8245538261614,-13.047048598440272]}"
1583_0,527,0.6254096441003131,34,0,1054.3656209053293,2986.5332909410345,7204.7464388415365,2986.5332909410345,9364.607118884549,39315.61512984563,146.0467584676878,1054.3656209053293,8164.034429124016,27,-13148,-70425,0,0.8051898557185515,39,13.116978,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.42682879106296,-13.147180451306648]}"
1585_0,318,0.009536049608267788,36,0,35250.718688586356,50218.006323468224,50276.3488402601,51223.25607722612,61387.66918958783,18301.21310175099,703.5624657610533,35250.718688586356,21363.01264498642,25,-12419,-69965,0,0.883373974501985,37,2.9646363,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96463812149062,-12.416953221776213]}"
1586_0,256,0.11544369031313227,31,0,16879.80596718921,2630.8102059838443,43510.87790766024,16879.80596718921,0.0,3108.788411724449,6270.428261763904,21594.989667555947,18021.900106055713,26,-13060,-69968,0,0.8993526920586727,38,1.4423392,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9670620496125,-13.057098813297918]}"
1591_0,251,0.4870934361609218,33,0,14642.812858627507,464.2150159183844,44956.82947693451,14642.812858627507,0.0,1133.3409824611651,7001.692639242795,20242.43703981469,15958.491878630039,27,-13042,-69956,0,0.8947232680158497,38,2.0074134,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95593265289432,-13.040865402963936]}"
1598_0,339,0.6450492243886561,36,0,132.07238378864875,125.82161296215918,1475.834832368761,132.07238378864875,5081.71637179047,33181.09954765901,1854.2756161203642,3298.5121450942165,1917.916428988604,31,-13112,-70381,0,0.8323868509930452,35,1.6177872,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38234001587108,-13.1094545562734]}"
1607_0,250,0.5446921001602891,37,0,12770.127571365161,21760.19046315722,37860.12251829116,21860.19197052946,36680.3279280022,4318.160095804934,1959.435510376231,12770.127571365161,9174.862529955917,30,-12680,-70043,0,0.9455604624625902,31,2.3374772,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0429587046291,-12.677063024519349]}"
