system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_2_573,245,106.29599,7619,0,54039,7619,7855,10125,11835,0,34,-12.964037022770876,-69.86781869532197,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.3780086,
1_2_574,254,81.65249,24697,24646,28690,24697,38144,9504,11403,0,42,-12.670287924863793,-70.13012675828487,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.95055276,
1_2_575,323,85.77324,39456,5125,39366,61713,0,24644,29040,0,41,-12.607405854975426,-70.77332050171445,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9911573,
1_2_576,246,102.09033,1181,0,53955,1181,14700,4622,9454,0,41,-12.89935832231427,-69.86602206475374,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0838633,
1_2_577,266,115.12293,29365,29392,64055,29365,39314,20468,7800,0,24,-12.587642918724796,-69.80134336429713,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.0573275,
1_2_578,395,102.80282,22924,491,24827,22924,0,16984,24915,0,31,-13.12303882806003,-70.14180485697842,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.402729,
1_2_579,221,98.28774,15815,15824,57641,15815,26470,7139,8576,0,31,-12.681966023557345,-69.71869835815814,0,24.0,1266.4,1411.2,-144.79999999999995,-2.2,2.3656037,
1_2_580,660,92.42915,491,0,491,20118,1408,12337,2091,0,41,-13.119445566923552,-70.7796087087033,0,-13.5,1266.4,1411.2,-144.79999999999995,8.1,13.919532,
1_2_581,255,96.38127,9861,9943,52017,9861,24662,4176,6789,0,21,-12.798747010492884,-69.8965647844138,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.7011641,
1_2_582,306,13.358375,2149,4821,3629,2149,12152,4077,5985,0,31,-13.026020777375123,-70.36907862386066,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9588764,
1_2_583,253,118.12972,14265,14144,36168,14265,30602,6937,15152,0,21,-12.594829440997753,-69.52735720264067,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.684365,
1_2_584,457,104.65919,26180,7044,32726,26180,0,25478,32788,0,21,-13.195802366073712,-70.08431267879477,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,10.992985,
1_2_585,208,22.194912,22379,22423,63961,22379,32022,14666,3580,0,41,-12.650524988613164,-69.77978379747826,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.8543341,
1_2_586,261,97.94167,21563,5379,64883,21563,0,21713,27834,0,31,-13.079021379138174,-69.77529222105767,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.4701215,
1_2_587,306,108.76762,35323,17694,59221,35323,0,20937,38806,0,31,-13.211073725903745,-69.78876695031946,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.66477966,
1_2_588,246,1.2587168,14117,15318,14117,31849,25908,3567,4765,0,21,-12.620880584237218,-70.25678921334573,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.3785777,
1_2_589,231,102.29747,12966,1046,60157,12966,0,8562,27030,0,24,-12.962240392202636,-69.62437525332558,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.0,
1_2_590,804,79.89051,695,0,695,22518,834,14821,4666,0,41,-13.103275891809401,-70.79667669910155,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,11.156092,
1_2_591,339,33.2884,33784,9062,33784,62817,0,32889,37171,0,31,-12.683762654125585,-70.88920317336587,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.193188,
1_2_592,281,123.34096,20510,20713,29287,20510,36585,5576,20396,0,21,-12.5049979125858,-69.44471219650168,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.1133869,
1_2_593,226,80.08716,27493,12474,63647,27493,0,21815,39518,0,21,-13.077224748569936,-69.55789992230073,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.333229,
1_2_594,609,44.4519,4963,6197,4963,12581,6911,4884,3766,0,31,-13.171547853402485,-70.72211653051964,0,76.5,1266.4,1411.2,-144.79999999999995,-20.9,9.6252,
1_2_595,261,110.672195,6295,6349,55172,6295,19803,2531,11623,0,24,-12.829289730152947,-69.86153048833313,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.3787963,
1_2_596,265,78.45579,19017,8066,18935,54278,14099,19305,12044,0,31,-12.464573724800422,-70.48226634965972,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.954784,
1_2_597,311,1.1426831,11464,1087,11464,25024,5586,1113,9962,0,34,-12.893968430609553,-70.56131809466224,0,290.5,1266.4,1411.2,-144.79999999999995,-84.5,1.4269296,
1_2_598,281,117.10883,32824,32741,54605,32824,47917,25136,25559,0,41,-12.476251823493975,-69.67827417037276,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.3530831,
1_2_599,328,85.135445,35720,5916,35635,54935,0,18163,27119,0,41,-12.663999717874956,-70.74008283620202,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.751697,
1_2_600,345,83.94456,35588,1217,35588,54490,0,26586,35855,0,34,-12.742153147593354,-70.83799920217106,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.46373534,
1_2_601,282,1.6487628,16361,787,16346,25485,8982,689,16203,0,41,-12.841866144130622,-70.53796189727514,0,40.0,1266.4,1411.2,-144.79999999999995,-12.0,0.47563156,
1_2_602,307,124.688995,40775,40886,51387,40775,51853,28320,13097,0,24,-12.517574326563473,-69.92531087350562,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.47502604,
1_2_603,337,98.28105,29269,11732,63712,29269,0,25517,33593,0,34,-13.154479863004214,-69.7860720044671,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.7557175,
1_2_604,298,98.510345,2562,4843,2562,26819,13125,5337,12270,0,24,-12.721491896058605,-70.43735058545374,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.3386016,
1_2_605,245,102.78529,18751,18606,34558,18751,35359,10341,21102,0,31,-12.544523785087058,-69.50669595110593,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.1610208,
1_2_606,382,100.646034,27099,0,27099,40951,10039,19881,21879,0,21,-12.838272882994143,-70.75355756546382,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,7.784734,
1_2_607,303,92.5994,30751,0,30751,45964,3425,10846,27315,0,24,-12.739458201740995,-70.69426875671193,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0835876,
1_2_608,279,121.24839,23947,23799,38355,23947,40453,14991,24398,0,21,-12.503201282017562,-69.53184877906128,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.1230636,
1_2_609,302,110.269684,28572,29034,28549,37519,40297,12276,3985,0,21,-12.547218730939418,-70.13192338885311,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.0419754,
1_2_610,684,53.67515,1370,10922,1370,17841,12997,5463,4665,0,41,-13.229040031586134,-70.77242218643033,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,16.485298,
1_2_611,256,112.2602,45588,29867,67693,45588,0,23649,56309,0,41,-13.218260248176701,-69.47166165502526,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.0,
1_2_612,318,5.696371,9357,1476,9412,23556,6312,6734,1260,0,41,-12.965833653339114,-70.61521701170942,0,9.0,1266.4,1411.2,-144.79999999999995,-2.7,5.3005834,
1_2_613,259,110.69522,23325,23233,34153,23325,40054,10473,24267,0,21,-12.493319813892246,-69.48783133013941,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,6.297623,
1_2_614,559,15.006692,7321,12352,7321,9591,13253,983,7392,0,41,-13.222751824597298,-70.68708223443898,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,8.363873,
1_2_615,248,81.39333,17230,17416,17193,39694,28716,7576,6564,0,34,-12.549015361507657,-70.23972122294745,0,4.0,1266.4,1411.2,-144.79999999999995,-1.2,1.0419767,
1_2_616,251,76.38994,5340,6789,5340,33918,17136,5753,4347,0,31,-12.616389007816622,-70.33673927363236,0,-83.5,1266.4,1411.2,-144.79999999999995,55.0,2.8204823,
