system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
2472_0,286,0.6486182552987545,39,0,5288.037985790017,2760.2383167707785,5314.387742639173,30875.775494795762,9211.577909396756,12814.364842107012,2653.075007331116,5432.582627976463,10020.780389666812,38,-12688,-70452,0,0.9361896707042372,35,2.1555333,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.45183597344906,-12.685993055332387]}"
2474_0,238,0.19692409806684258,39,0,10207.407408502759,18515.238931577893,43155.944310599516,18572.968946538727,32369.695479006874,7878.479065967045,4497.547324106321,10207.407408502759,7534.370562633894,29,-12716,-69989,0,0.9214329264746284,33,1.9754801,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98785511566807,-12.715248630011438]}"
2476_0,326,0.2761846046058758,39,0,1103.5529373666163,10254.931969132202,1103.5529373666163,8928.454927934681,25459.35108426119,25007.865750509052,160.2761435808785,3152.771922033417,17114.62185308265,25,-12887,-70376,0,0.956492914705612,39,2.2882285,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.37558082818059,-12.887097877140851]}"
2478_0,259,0.289742481573615,37,0,11153.004954566084,23197.27023222778,30433.261967970833,23291.09825629555,37170.72855056048,5757.775237256257,2553.5007880089433,11153.004954566084,11615.361879034403,32,-12679,-70114,0,0.8248655924786154,36,2.7008,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.11478237360224,-12.676771572141673]}"
2488_0,479,0.19365326710396258,37,0,11314.193087806481,6105.672778521564,11314.745493567993,12173.923268653223,9265.068965413175,23878.118881607792,481.40106613538785,11376.856699736409,10023.082505048253,26,-13071,-70609,0,0.977055684018967,37,19.420694,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.6089656699109,-13.070173518869034]}"
2493_0,404,0.14429244120400472,39,0,157.60494530529436,1155.6125742426211,6901.511546041189,157.60494530529436,17952.51790689699,26368.673823304103,315.0821120656092,5613.540793992868,11852.295261136902,30,-12971,-70336,0,0.891610663353943,35,10.976679,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33731169245456,-12.968660971961931]}"
2494_0,253,0.1514453552210635,36,0,5451.504795917801,0.0,47554.029959646985,5451.504795917801,7004.611740239078,7054.4309060895675,240.6481850743416,13602.92760487727,7856.9444646446755,26,-12962,-69923,0,0.9515794096947395,35,1.340121,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.92243341346128,-12.95961199032844]}"
2500_0,268,0.12063929953850672,35,0,1240.2226155478984,7390.4680957527635,20315.990594091938,7460.524686265865,22464.111237604575,5131.064453104074,4364.054155892361,1240.2226155478984,14139.881949956954,33,-12845,-70181,0,0.948498602026898,34,2.4081228,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18185992536905,-12.844646951090295]}"
2505_0,253,0.0947410906111804,38,0,487.8712738548627,9862.803790931346,56817.799690955,9860.90885627858,22082.23778888031,10345.071419283197,181.77201581515143,487.8712738548627,11720.86015399225,31,-12792,-69849,0,0.8575656452127484,35,4.011015,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8499584930404,-12.791679221444545]}"
2512_0,294,0.0848091669054958,33,0,2952.5370531036237,14590.934698026907,2952.5370531036237,12713.82877674037,27637.02483765741,20404.650915113096,290.5774352323267,7241.942222112582,22767.04660109904,36,-12819,-70346,0,0.9433008380771947,40,1.8861737,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.34756031479724,-12.816727309237228]}"
2517_0,237,0.3938375295150579,37,0,10205.511217075364,17436.755941075022,45132.60853096185,17435.721642955104,30383.95369519326,7233.611646067272,2494.1540099727245,10205.511217075364,5279.413912479833,31,-12734,-69966,0,0.8726621263578505,35,1.4126052,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96581305242316,-12.73160497235001]}"
2520_0,275,0.05423141911277295,36,0,1547.1273282795462,20755.491847270587,16755.21323219471,20953.719880319062,30471.08693133986,10979.073606923568,2853.136192458969,1547.1273282795462,13477.462221302996,34,-12722,-70235,0,0.9229203801477495,37,1.6859585,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2365355471773,-12.71963003671446]}"
2525_0,301,0.12801593476478573,34,0,78.0004564707891,8225.10088479401,1984.2149344701359,21427.968360330793,18689.93923155394,19116.39400719433,1548.55850177094,78.0004564707891,16269.460287399763,30,-12764,-70412,0,0.8342663976257256,38,2.2292242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4135859381359,-12.762138734830746]}"
2538_0,226,0.07693994363779393,35,0,5952.949748445881,0.0,66502.92490962705,5952.949748445881,3881.2121375332626,5665.508891232648,659.9053457000757,7857.282414403848,22802.394921815656,36,-12934,-69746,0,0.8161923225334413,36,1.1488557,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.7453458965405,-12.933052750812951]}"
2539_0,275,0.1930877370948739,38,0,5285.531163463793,16859.167377132067,13852.38166482698,25525.53687702576,25602.62367294196,5767.879956749589,302.26729991967653,5285.531163463793,8869.245906809118,29,-12682,-70268,0,0.8311633680260806,35,2.008888,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.26949994886671,-12.6815023873796]}"
2543_0,301,0.2883678256309626,35,0,1056.1210269991732,5662.728484157774,2513.819737231283,4120.954281274867,25153.527875123087,22112.747443018416,239.86798070653722,1056.1210269991732,17184.886809138603,24,-12906,-70335,0,0.9076039302411726,38,3.054908,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33696493402978,-12.90357092892323]}"
2547_0,244,0.1283485510575595,35,0,18190.116969247796,1366.1082063270208,61510.951350590134,18190.116969247796,0.0,2200.106805204062,926.3392855908554,19268.241077593804,23771.494279781775,24,-13053,-69802,0,0.96780413827447,39,1.0465254,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80103795679634,-13.052241126108617]}"
2553_0,459,0.2906409942400717,38,0,6642.154693445803,9191.094437959524,6674.38166858413,6787.319679089389,20291.09955011679,32162.516458673825,526.9801210606032,7791.723206394417,8082.819846569192,26,-12964,-70410,0,0.8529934435964658,36,10.900589,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.40917958719582,-12.962857632186509]}"
2558_0,262,0.06471387586923101,41,0,449.07760905843634,5220.405697867424,57567.498489591555,5202.640588167531,17861.322421595643,13902.266813369895,392.25910638954923,449.07760905843634,14409.077283834666,25,-12832,-69834,0,0.8509848693278205,36,1.5396311,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83350000487826,-12.829708076976592]}"
