system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
768,363,113.58931,695,2282,7369,695,13482,7014,9652,31,-13.00985110226097,,-70.3385359042006,,0,0.0,1411.2,1669,-257.79999999999995,0.0,27.324024,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33896008209604,-13.00965111841255]}"
769,235,109.09552,15025,0,56770,15025,354,16857,18384,31,-13.03230898436396,,-69.85344565077607,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.65634,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.85303239527741,-13.032589904396572]}"
770,303,86.33564,21872,0,21872,36458,2113,10306,16039,41,-12.832882991289425,,-70.64845467722184,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.0,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64811506457781,-12.832959867058182]}"
771,264,5.606783,22251,0,22251,38096,8190,2379,23105,31,-12.753831246286907,,-70.61521701170942,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.7009538,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.61500013949681,-12.753707383625109]}"
772,242,100.36797,28006,28056,28006,28113,39758,9666,7939,34,-12.63705025935137,,-70.13102507356899,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.083413,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13095235185219,-12.637147378103956]}"
773,248,75.95082,7160,7129,39184,7160,21347,3505,5086,34,-12.815815000891154,,-70.01244745606522,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.4999104,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.01261656348915,-12.816104626098047]}"
774,240,17.158041,10742,10710,41171,10742,24389,4421,4664,21,-12.78617059651521,,-69.9980744115193,,0,0.0,1411.2,1669,-257.79999999999995,0.0,6.068422,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99812734107077,-12.786593917563945]}"
775,247,94.52879,8076,7995,37999,8076,22728,1638,3544,24,-12.804136902197602,,-70.02502387004289,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.9142615,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0252838515564,-12.804392004102617]}"
776,227,8.71275,11025,10948,34717,11025,25500,2861,2861,41,-12.778085758958134,,-70.05915985083944,,0,1.0,1411.2,1669,-257.79999999999995,1.9,3.6029398,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05889439427217,-12.778219632234995]}"
777,260,66.19534,10959,10867,27038,10959,23697,7112,7482,24,-12.80503521748172,,-70.12563518186427,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.92740995,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12561692339986,-12.805338546434871]}"
778,267,100.23025,22212,23698,22212,27683,33744,3535,6894,34,-12.660406456738478,,-70.18851725175264,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.9957798,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18823371190305,-12.660495775141097]}"
