system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_52,303,78.1162,25562,4518,25470,50177,0,14380,16093,0,42,-12.624473845373696,-70.64755636193772,0,0.0,1571.5,1224.5,347.0,0.0,3.0117164,
1_1_1_1_53,230,4.684133,25029,24934,39304,25029,39736,15984,7091,0,41,-12.648728358044924,-70.02861713117937,0,-33.5,1571.5,1224.5,347.0,20.5,1.8543341,
1_1_1_1_54,312,86.099045,5422,10888,5422,17512,21453,4628,21635,0,34,-12.821204892595873,-70.42387585619196,0,0.0,1571.5,1224.5,347.0,0.0,1.95736,
1_1_1_1_55,279,102.37255,4134,4040,20077,4134,19688,989,13674,0,24,-12.875103809643043,-70.17863578362733,0,0.0,1571.5,1224.5,347.0,0.0,1.042255,
1_1_1_1_56,812,112.956505,9257,8488,12746,9257,11255,10642,12520,0,21,-13.096089369536445,-70.59904733659526,0,0.0,1571.5,1224.5,347.0,0.0,24.59337,
1_1_1_1_57,304,90.47947,5158,8843,5158,19428,21227,2333,19989,0,24,-12.797848695208764,-70.42567248676019,0,0.0,1571.5,1224.5,347.0,0.0,3.5413747,
1_1_1_1_58,271,97.264244,18782,18714,22210,18782,32401,4442,15235,0,31,-12.741254832309235,-70.18133072947968,0,0.0,1571.5,1224.5,347.0,0.0,2.7802885,
1_1_1_1_59,272,77.7591,5406,5348,19072,5406,21419,139,15162,0,31,-12.864324026233609,-70.19031388232088,0,0.0,1571.5,1224.5,347.0,0.0,2.998294,
1_1_1_1_60,283,104.29282,5241,3348,5241,31090,8822,4763,9292,0,41,-12.682864338841465,-70.44902868414731,0,0.0,1571.5,1224.5,347.0,0.0,1.04209,
1_1_1_1_61,328,54.723408,3089,6087,3089,4626,21603,2644,12160,0,21,-12.93798587953141,-70.36907862386066,0,0.0,1571.5,1224.5,347.0,0.0,4.193242,
1_1_1_1_62,255,105.81433,3480,3592,52931,3480,19074,4489,9304,0,34,-12.854442558108294,-69.8785984787314,0,0.0,1571.5,1224.5,347.0,0.0,2.9380326,
1_1_1_1_63,237,0.3236698,8699,8788,46644,8699,21432,9575,4079,0,41,-12.815815000891154,-69.94327717918802,0,433.5,1571.5,1224.5,347.0,-94.3,3.9100807,
1_1_1_1_64,265,88.614204,11100,11040,25106,11100,23765,5217,9378,0,24,-12.810425109186438,-70.14270317226254,0,0.0,1571.5,1224.5,347.0,0.0,2.365652,
1_1_1_1_65,289,115.93495,20677,0,20677,39130,5989,2212,19774,0,21,-12.725983472479204,-70.60264059773174,0,0.0,1571.5,1224.5,347.0,0.0,1.4699045,
1_1_1_1_66,266,34.769386,18969,4727,38156,18969,0,20855,19085,0,34,-13.066444965160501,-70.0205322936223,0,0.0,1571.5,1224.5,347.0,0.0,3.7581413,
1_1_1_1_67,264,94.60519,11989,0,11944,36818,4183,3067,10984,0,41,-12.670287924863793,-70.52089390687686,0,0.0,1571.5,1224.5,347.0,0.0,7.0913014,
1_1_1_1_68,349,49.75467,1589,1649,1773,1589,7493,556,3010,0,21,-13.073631487433458,-70.37357020028126,1,0.0,1571.5,1224.5,347.0,0.0,1.6853865,
1_1_1_1_69,286,2.8356903,15210,0,18048,15210,6955,10273,18165,0,42,-13.063750019308143,-70.20648355743504,0,2.0,1571.5,1224.5,347.0,1.4,1.0424199,
1_1_1_1_70,256,102.84923,1880,1990,53063,1880,17597,4730,8906,0,24,-12.868815602654207,-69.87590353287905,0,0.0,1571.5,1224.5,347.0,0.0,0.664308,
1_1_1_1_71,454,94.54817,6441,8107,6523,16453,12024,6821,5469,0,21,-13.03141066907984,-70.58467429204936,0,0.0,1571.5,1224.5,347.0,3.4,5.4016585,
1_1_1_1_72,395,60.120125,10454,0,11938,10454,5737,3966,12044,0,41,-13.091597793115849,-70.25858584391396,0,0.0,1571.5,1224.5,347.0,0.0,13.108932,
1_1_1_1_73,272,109.30802,23632,23581,24948,23632,36401,5613,11494,0,24,-12.696339068103258,-70.16605936964966,0,0.0,1571.5,1224.5,347.0,0.0,1.9142113,
1_1_1_1_74,264,105.15195,25331,25284,27760,25331,38625,8662,10811,0,24,-12.667592979011435,-70.13821159584195,0,0.0,1571.5,1224.5,347.0,0.0,1.0575927,
1_1_1_1_75,242,107.8371,14473,0,54877,14473,354,17546,17602,0,21,-13.035003930216318,-69.87051364117433,0,0.0,1571.5,1224.5,347.0,0.0,2.365738,
1_1_1_1_76,299,85.51818,19697,2334,19600,44916,0,10658,11765,0,21,-12.63794857463549,-70.59455576017467,0,0.0,1571.5,1224.5,347.0,0.0,3.3551462,
1_1_1_1_77,402,27.422499,2112,0,4964,2112,6807,695,5102,0,31,-13.0709365415811,-70.33224769721177,0,-39.5,1571.5,1224.5,347.0,40.2,11.273139,
1_1_1_1_78,269,83.329895,220,4423,220,32825,9363,630,3905,0,21,-12.647830042760804,-70.41399438806664,0,-38.5,1571.5,1224.5,347.0,27.5,10.047195,
1_1_1_1_79,238,55.76659,9170,9122,39553,9170,23376,2856,5082,0,42,-12.796950379924645,-70.0115491407811,0,0.0,1571.5,1224.5,347.0,0.0,2.504619,
1_1_1_1_80,239,70.348175,18699,18629,42946,18699,32527,10217,7310,0,34,-12.71161042793329,-69.99448115038282,0,0.0,1571.5,1224.5,347.0,0.0,1.9142185,
1_1_1_1_81,289,92.86185,7814,0,21692,7814,11252,7949,16238,0,21,-12.984698274305625,-70.17414420720672,0,0.0,1571.5,1224.5,347.0,0.0,1.0586702,
1_1_1_1_82,256,101.162544,23496,23429,31886,23496,37510,12734,10091,0,24,-12.671186240147911,-70.10048235390893,0,0.0,1571.5,1224.5,347.0,0.0,3.2427514,
1_1_1_1_83,274,112.56057,17445,17376,21182,17445,31484,3831,15396,0,31,-12.753831246286907,-70.18851725175264,0,0.0,1571.5,1224.5,347.0,0.0,2.9962242,
1_1_1_1_84,237,70.22928,8982,8939,41321,8982,22298,4827,4998,0,41,-12.80503521748172,-69.99448115038282,0,0.0,1571.5,1224.5,347.0,0.0,1.4699525,
1_1_1_1_85,248,32.67505,14526,15379,14518,34393,26370,4056,4557,0,31,-12.597524386850111,-70.25319595220925,0,0.0,1571.5,1224.5,347.0,7.7,4.651385,
1_1_1_1_86,320,66.726776,13035,0,13035,26943,3761,696,10178,0,21,-12.884985277768358,-70.57658945449228,0,60.5,1571.5,1224.5,347.0,-9.7,1.3284813,
1_1_1_1_87,276,108.51699,11521,14827,11521,25763,23293,7794,8113,0,41,-12.681067708273227,-70.29092519414226,0,0.0,1571.5,1224.5,347.0,0.0,2.338465,
1_1_1_1_88,287,89.681206,7785,16953,7785,16957,26335,8874,17964,0,24,-12.770899236685178,-70.30978981510877,0,0.0,1571.5,1224.5,347.0,0.0,1.4996686,
1_1_1_1_89,275,99.33961,12413,0,27900,12413,3919,14582,16239,0,21,-13.027817407943362,-70.12294023601191,0,-13.5,1571.5,1224.5,347.0,11.8,1.0423882,
1_1_1_1_90,233,83.25942,20083,20123,47236,20083,32799,12446,6378,0,41,-12.709813797365051,-69.95495527788157,0,0.0,1571.5,1224.5,347.0,0.0,1.3909631,
1_1_1_1_91,531,110.06357,9683,8164,9743,12376,11453,9545,9448,0,21,-13.06824159572874,-70.59006418375407,0,0.0,1571.5,1224.5,347.0,0.0,19.506569,
1_1_1_1_92,289,30.749418,23001,0,23001,38105,3341,11904,16728,0,41,-12.831984676005305,-70.66462435233599,0,0.0,1571.5,1224.5,347.0,0.0,4.651535,
1_1_1_1_93,300,85.978745,7673,3214,7673,25211,16225,1941,18449,0,21,-12.76820429083282,-70.47058825096617,0,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_94,247,101.11009,10476,0,53315,10476,4186,14149,13762,0,24,-12.999071318851538,-69.87949679401552,0,0.0,1571.5,1224.5,347.0,0.0,1.9927422,
1_1_1_1_95,313,83.30319,27829,3643,27737,51964,0,15504,18187,0,34,-12.623575530089576,-70.66821761347246,0,0.0,1571.5,1224.5,347.0,0.0,0.6639781,
1_1_1_1_96,239,103.86266,24697,24664,46427,24697,37847,16435,1185,0,21,-12.663101402590836,-69.96483674600688,0,0.0,1571.5,1224.5,347.0,0.0,2.4199166,
1_1_1_1_97,336,92.4646,18322,98,18322,33454,0,7107,12684,0,21,-12.85983244981301,-70.63048837153944,0,0.0,1571.5,1224.5,347.0,0.0,1.7014544,
1_1_1_1_98,479,0.3862924,4326,14055,4450,15402,18826,1938,4514,0,21,-13.036800560784558,-70.52179222216098,0,2.0,1571.5,1224.5,347.0,-0.4,6.7346945,
1_1_1_1_99,225,81.09869,20784,21717,20783,33818,32620,2951,1797,0,42,-12.604710909123067,-70.1957037740256,0,-8.5,1571.5,1224.5,347.0,6.2,0.0,
1_1_1_1_100,337,94.0178,6737,12656,6737,14960,19841,8629,16689,0,24,-12.866120656801847,-70.4301640631808,0,0.0,1571.5,1224.5,347.0,0.0,1.4699898,
