system:index,altitude,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,sand,slope,type,.geo
4569,344,37,2,14267.787545425754,316.227580727077,14267.787545425754,16508.47299506851,3733.6287528438743,17420.093122105074,316.227580727077,14741.090371867425,9580.182276205005,31,-13042,,-70659,,1,35,4.671649,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65949075170764,-13.041832274873888]}"
4570,290,42,2,10167.059650100953,0.0,17891.92817306173,15477.099604984689,6128.148644619097,13787.019373245335,1118.245510816358,10167.059650100953,18008.405691151824,41,-13071,,-70203,,1,38,0.66458505,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2041418508657,-13.071473268334575]}"
4571,332,36,2,13678.07063585124,0.0,13678.07063585124,19070.638535491336,4661.54002841587,15851.797522037918,1499.9984619132738,14200.337547395164,7657.668035517568,31,-13017,,-70660,,1,37,3.3280923,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66025001004347,-13.017421396686387]}"
4572,341,37,2,14233.754338828705,360.55491628356697,14233.754338828705,16601.195048286434,3748.330766508774,17360.001348848775,360.55491628356697,14712.231181831537,9499.99443359212,31,-13041,,-70659,,1,35,0.92740995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.65948472453937,-13.040928387634947]}"
4573,350,38,2,11853.351776600734,1676.317084204798,11853.351776600734,18845.289193667704,6352.996118343493,17309.366098966388,200.00138671394257,12468.0453822681,6171.752441662892,31,-13015,,-70643,,1,40,5.611023,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.64363908343859,-13.014815401471196]}"
4574,350,42,2,12445.825120877005,0.0,14312.515485970061,22072.95811377755,4936.575119567494,13892.73944835513,99.99953613173663,12445.825120877005,6926.005700677722,21,-12990,,-70667,,1,32,6.2875633,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66744953511594,-12.991161384213363]}"
4575,331,37,2,8026.333266631236,943.412945813298,10042.567961421302,23036.420875855067,5941.473724551111,17837.60087441913,0.0,8026.333266631236,2002.5299237971765,31,-12973,,-70625,,1,42,3.1730096,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.6249319038425,-12.973351885283327]}"
4576,375,42,2,11204.421817202907,0.0,14270.546189097187,23534.143054726097,4070.611381541015,13606.19807250656,707.104157152608,11204.421817202907,6419.477715868423,31,-12976,,-70665,,1,33,16.077972,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66550972420144,-12.976710993064566]}"
4577,338,39,2,10625.391879262177,0.0,14698.57121049127,24740.54003731306,2906.874886617123,13168.461991281303,282.8414004570406,10625.391879262177,6636.986615400683,31,-12965,,-70667,,1,34,4.398755,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66728081944447,-12.965852520874991]}"
4578,310,41,2,7685.790952048706,0.0,15378.73889167891,13099.31725782278,6935.229644269178,16078.046295604256,300.0543114900201,7685.790952048706,15496.029192485894,21,-13073,,-70227,,1,35,1.5013164,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22721058012301,-13.074076968662018]}"
