system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_139,0,0,0,0,0,0,0,0,0,267,0.1293281150494213,40,0,16027.37399524931,28812.74302432758,54326.65742948795,28744.250015220437,39620.65877589541,4032.280573210866,1280.9907237661794,16027.37399524931,1345.746776596084,24,-12624,-69884,0.0,0.8173152491551212,33,0.0,1.4698429,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.88563051466245,-12.623969537821818]}"
1_1_1_1_2_142,0,0,0,0,0,0,0,0,0,315,0.008011636888322836,37,0,37402.965777229714,47214.48272013867,66711.84242245478,47174.517290107884,58939.33530701391,29136.3504404929,1166.5455915597556,37402.965777229714,27023.039255521737,24,-12403,-69808,0.0,0.9012182364023337,34,0.0,1.6839705,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80816029977208,-12.404217933707054]}"
1_1_1_1_2_151,0,0,0,0,0,0,0,0,0,313,0.20914053778508587,38,0,1726.4728851177695,14155.12750516575,1726.4728851177695,14178.42698012933,24670.522788209306,23714.63048619311,894.5335289272281,7393.442728914737,22141.286030622603,24,-12829,-70388,0.0,0.9943582464887954,36,0.0,0.47560742,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38885659019425,-12.829576011914247]}"
1_1_1_1_2_153,0,0,0,0,0,0,0,0,0,310,0.008537336385649788,37,0,20376.899006164356,0.0,27637.04660505179,55083.531847831386,1299.9968896447167,13612.46169179355,1711.720181423409,20376.899006164356,16201.195758097225,21,-12571,-70660,0.0,0.8349278841837486,36,0.0,0.47512648,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.66051415618077,-12.57200277255415]}"
1_1_1_1_2_156,0,0,0,0,0,0,0,0,0,344,0.005846853996279641,36,0,32471.01529874374,12884.614366864555,32471.01529874374,71981.06833972475,0.0,22305.604064793053,2102.1471798199573,35262.23228474234,28980.929308124334,24,-12574,-70870,0.0,0.9299212976556595,39,0.0,2.3655634,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.87005877982507,-12.573875916357503]}"
1_1_1_1_2_158,0,0,0,0,0,0,0,0,0,237,0.0807443124707298,42,0,282.954736331626,17976.535508182693,17770.481075598465,3494.233231898845,20235.220669635113,19955.080614741204,0.0,282.954736331626,12174.454297077986,42,-12433,-69167,0.0,0.841088476372701,34,0.0,9.229501,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.16732243270702,-12.433041670491699]}"
1_1_1_1_2_161,0,0,0,0,0,0,0,0,0,283,0.008460052203593233,36,0,32640.36153183219,0.0,35122.02817331078,68127.2417865523,10783.901542915935,4701.114897478776,1421.2825159813847,32640.36153183219,18940.375186002082,21,-12400,-70631,0.0,0.871449813240235,36,0.0,3.82389,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.63183277616038,-12.400785920176487]}"
1_1_1_1_2_162,0,0,0,0,0,0,0,0,0,198,0.10840649069168082,35,0,2434.0774657711695,9440.402349399876,20866.428433451645,7805.682178607934,10826.986968109695,9608.525118667,2887.3274723552204,2434.0774657711695,18328.89467735984,34,-12449,-69056,0.0,0.8979618019050394,40,0.0,3.277195,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.05663657665296,-12.449636305976059]}"
1_1_1_1_2_169,0,0,0,0,0,0,0,0,0,729,0.05118370102503684,36,0,11044.147417686607,4951.832159350214,14080.312090796097,11044.147417686607,7432.458929208758,22804.683957947655,200.00261717037606,13309.56934261727,12149.233019773306,31,-13084,-70631,0.0,0.8937336649856281,38,0.0,22.30774,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.63151048413384,-13.084178727107592]}"
1_1_1_1_2_171,0,0,0,0,0,0,0,0,0,305,0.2601055322572891,33,0,2500.279403332068,9862.643600675496,2828.7432335314566,18963.395465863345,21246.196869463853,20671.610936002377,100.01117613328272,2500.279403332068,18747.227682598914,24,-12787,-70405,0.0,0.9692804768232419,38,0.0,2.7802885,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.40631156916747,-12.787445469760165]}"
1_1_1_1_2_174,0,0,0,0,0,0,0,0,0,280,0.06207676215286658,38,0,13488.13614116124,21474.847346663493,38443.00371511863,21616.27667298707,38062.49811247943,8703.680516382137,824.9154880955988,13488.13614116124,21205.68016181042,21,-12531,-69543,0.0,0.8128370312082444,34,0.0,3.9679356,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54320131067311,-12.530752223721699]}"
1_1_1_1_2_181,0,0,0,0,0,0,0,0,0,259,0.1111233873481627,41,0,800.3154456212875,23798.87384370352,23005.154142137704,5663.504221193497,26270.97164636551,20188.39335835325,360.6972969666705,800.3154456212875,9355.692693927218,31,-12386,-69200,0.0,0.9089452511874393,39,0.0,0.46373534,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.20013426214757,-12.38581459070977]}"
1_1_1_1_2_182,0,0,0,0,0,0,0,0,0,319,0.02087916630136245,38,0,13092.102720478277,2751.308351231226,30815.12731178002,50001.50134244994,0.0,14317.535123467262,699.9860203682196,13092.102720478277,23512.292920801126,34,-12680,-70696,0.0,0.8802318819633816,34,0.0,2.9958742,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69628529339805,-12.679708683658623]}"
1_1_1_1_2_185,0,0,0,0,0,0,0,0,0,234,0.005369662432753959,34,0,31998.90523157833,25548.259274919605,52864.50611088367,45625.058215116966,0.0,8008.71287950368,0.0,31998.90523157833,51669.232753826924,34,-13096,-69312,0.0,0.9068934093808431,39,0.0,0.92740995,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.31222379900683,-13.09647080145481]}"
